sample,participant,image,x,y,r
1629,g,23.jpeg,69,133,50
1630,g,23.jpeg,105,71,50
1631,g,23.jpeg,175,38,50
1632,g,23.jpeg,408,48,50
1633,g,23.jpeg,485,56,50
1634,g,23.jpeg,540,59,50
1635,g,23.jpeg,542,77,50
1636,g,23.jpeg,521,91,50
1637,g,23.jpeg,497,200,50
1638,g,23.jpeg,491,248,50
1639,g,39.jpeg,181,180,50
1640,g,39.jpeg,277,200,50
1641,g,39.jpeg,312,193,50
1642,g,39.jpeg,358,173,50
1643,g,39.jpeg,353,144,50
1644,g,39.jpeg,147,123,50
1645,g,39.jpeg,111,126,50
1646,g,39.jpeg,63,103,50
1647,g,39.jpeg,110,106,50
1648,g,39.jpeg,360,101,50
1649,g,39.jpeg,457,94,50
1650,g,39.jpeg,514,88,50
1651,g,39.jpeg,570,112,50
1652,g,39.jpeg,584,165,50
1653,g,39.jpeg,537,184,50
1654,g,39.jpeg,402,186,50
1655,g,39.jpeg,309,199,50
1656,g,39.jpeg,253,203,50
1657,g,39.jpeg,190,212,50
1658,g,39.jpeg,99,251,50
1659,g,39.jpeg,73,268,50
1660,g,39.jpeg,195,267,50
1661,g,39.jpeg,246,268,50
1662,g,39.jpeg,323,263,50
1663,g,39.jpeg,411,277,50
1664,g,39.jpeg,521,289,50
1665,g,39.jpeg,571,301,50
1666,g,39.jpeg,506,323,50
1667,g,39.jpeg,395,346,50
1668,g,39.jpeg,299,366,50
1669,g,39.jpeg,215,379,50
1670,g,39.jpeg,127,385,50
1671,g,39.jpeg,78,394,50
1672,g,39.jpeg,69,410,50
1673,g,39.jpeg,88,425,50
1674,g,39.jpeg,313,416,50
1675,g,39.jpeg,443,408,50
1676,g,39.jpeg,543,412,50
1677,g,39.jpeg,581,420,50
1678,g,39.jpeg,530,466,50
1679,g,39.jpeg,358,465,50
1680,g,39.jpeg,259,463,50
1681,g,39.jpeg,169,471,50
1682,g,39.jpeg,142,476,50
1683,g,39.jpeg,347,484,50
1684,g,39.jpeg,378,485,50
1685,g,39.jpeg,318,499,50
1686,g,39.jpeg,225,497,50
1687,g,39.jpeg,195,502,50
1688,g,39.jpeg,185,511,50
1689,g,39.jpeg,208,617,50
1690,g,39.jpeg,326,605,50
1691,g,39.jpeg,424,633,50
1692,g,39.jpeg,403,680,50
1693,g,9.jpeg,235,195,50
1694,g,9.jpeg,298,218,50
1695,g,9.jpeg,338,243,50
1696,g,9.jpeg,292,311,50
1697,g,9.jpeg,273,317,50
1698,g,9.jpeg,291,358,50
1699,g,9.jpeg,244,397,50
1700,g,9.jpeg,342,399,50
1701,g,9.jpeg,380,395,50
1702,g,9.jpeg,373,427,50
1703,g,9.jpeg,379,457,50
1704,g,9.jpeg,355,466,50
1705,g,9.jpeg,252,572,50
1706,g,9.jpeg,264,557,50
1707,g,9.jpeg,195,539,50
1708,g,9.jpeg,232,502,50
1709,g,9.jpeg,263,506,50
1710,g,9.jpeg,270,528,50
1711,g,9.jpeg,215,500,50
1712,g,9.jpeg,199,493,50
1713,g,9.jpeg,175,502,50
1714,g,9.jpeg,169,520,50
1715,g,9.jpeg,312,686,50
1716,g,9.jpeg,339,715,50
1717,g,9.jpeg,339,715,50
1718,g,21.jpeg,259,461,50
1719,g,21.jpeg,258,429,50
1720,g,21.jpeg,237,401,50
1721,g,21.jpeg,229,390,50
1722,g,21.jpeg,157,340,50
1723,g,21.jpeg,151,332,50
1724,g,21.jpeg,106,312,50
1725,g,21.jpeg,111,273,50
1726,g,21.jpeg,152,232,50
1727,g,21.jpeg,217,212,50
1728,g,21.jpeg,278,209,50
1729,g,21.jpeg,320,240,50
1730,g,21.jpeg,360,277,50
1731,g,21.jpeg,376,301,50
1732,g,21.jpeg,435,349,50
1733,g,21.jpeg,457,351,50
1734,g,21.jpeg,493,333,50
1735,g,21.jpeg,513,364,50
1736,g,21.jpeg,464,411,50
1737,g,21.jpeg,372,424,50
1738,g,21.jpeg,312,436,50
1739,g,21.jpeg,294,450,50
1740,g,21.jpeg,311,463,50
1741,g,21.jpeg,281,491,50
1742,g,21.jpeg,236,502,50
1743,g,21.jpeg,229,522,50
1744,g,21.jpeg,212,530,50
1745,g,21.jpeg,193,573,50
1746,g,21.jpeg,201,605,50
1747,g,21.jpeg,193,634,50
1748,g,21.jpeg,180,644,50
1749,g,21.jpeg,235,662,50
1750,g,21.jpeg,295,657,50
1751,g,21.jpeg,341,661,50
1752,g,21.jpeg,341,664,50
1753,g,21.jpeg,439,659,50
1754,g,21.jpeg,443,598,50
1755,g,21.jpeg,381,602,50
1756,g,21.jpeg,344,559,50
1757,g,21.jpeg,347,527,50
1758,g,21.jpeg,351,477,50
1759,g,21.jpeg,357,419,50
1760,g,21.jpeg,358,344,50
1761,g,21.jpeg,334,303,50
1762,g,21.jpeg,277,261,50
1763,g,21.jpeg,315,231,50
1764,g,21.jpeg,309,188,50
1765,g,21.jpeg,233,133,50
1766,g,21.jpeg,213,105,50
1767,g,21.jpeg,187,89,50
1768,g,21.jpeg,156,79,50
1769,g,21.jpeg,107,159,50
1770,g,21.jpeg,102,184,50
1771,g,21.jpeg,85,218,50
1772,g,21.jpeg,99,273,50
1773,g,21.jpeg,96,308,50
1774,g,21.jpeg,181,355,50
1775,g,21.jpeg,175,364,50
1776,g,21.jpeg,126,400,50
1777,g,21.jpeg,52,482,50
1778,g,21.jpeg,94,481,50
1779,g,21.jpeg,168,493,50
1780,g,21.jpeg,237,496,50
1781,g,21.jpeg,342,695,50
1782,g,21.jpeg,243,525,50
1783,g,21.jpeg,236,547,50
1784,g,21.jpeg,165,519,50
1785,g,21.jpeg,154,568,50
1786,g,21.jpeg,144,590,50
1787,g,21.jpeg,116,633,50
1788,g,21.jpeg,110,655,50
1789,g,21.jpeg,157,671,50
1790,g,21.jpeg,148,710,50
1791,g,21.jpeg,112,752,50
1792,g,21.jpeg,92,786,50
1793,g,21.jpeg,12,791,50
1794,g,21.jpeg,44,802,50
1795,g,21.jpeg,160,799,50
1796,g,21.jpeg,209,782,50
1797,g,21.jpeg,283,766,50
1798,g,21.jpeg,332,743,50
1799,g,21.jpeg,340,735,50
1800,g,21.jpeg,368,730,50
1801,g,21.jpeg,388,708,50
1802,g,21.jpeg,388,673,50
1803,g,21.jpeg,408,653,50
1804,g,21.jpeg,366,633,50
1805,g,21.jpeg,318,610,50
1806,g,21.jpeg,285,603,50
1807,g,21.jpeg,283,549,50
1808,g,21.jpeg,291,531,50
1809,g,21.jpeg,293,509,50
1810,g,21.jpeg,277,460,50
1811,g,21.jpeg,273,425,50
1812,g,21.jpeg,358,407,50
1813,g,21.jpeg,430,409,50
1814,g,21.jpeg,479,408,50
1815,g,21.jpeg,491,417,50
1816,g,21.jpeg,509,445,50
1817,g,21.jpeg,520,362,50
1818,g,21.jpeg,485,447,50
1819,g,21.jpeg,480,627,50
1820,g,21.jpeg,464,671,50
1821,g,21.jpeg,434,727,50
1822,h,23.jpeg,40,41,50
1823,h,23.jpeg,140,90,50
1824,h,23.jpeg,237,127,50
1825,h,23.jpeg,275,258,50
1826,h,23.jpeg,228,327,50
1827,h,23.jpeg,264,383,50
1828,h,23.jpeg,306,551,50
1829,h,23.jpeg,306,604,50
1830,h,23.jpeg,194,599,50
1831,h,23.jpeg,158,653,50
1832,h,23.jpeg,148,548,50
1833,h,23.jpeg,124,441,50
1834,h,23.jpeg,123,323,50
1835,h,23.jpeg,88,270,50
1836,h,23.jpeg,83,194,50
1837,h,23.jpeg,103,68,50
1838,h,23.jpeg,141,82,50
1839,h,23.jpeg,94,99,50
1840,h,23.jpeg,126,80,50
1841,h,23.jpeg,109,115,50
1842,h,23.jpeg,126,82,50
1843,h,23.jpeg,124,72,50
1844,h,23.jpeg,92,107,50
1845,h,23.jpeg,115,64,50
1846,h,23.jpeg,138,77,50
1847,h,23.jpeg,99,114,50
1848,h,23.jpeg,462,203,50
1849,h,23.jpeg,526,120,50
1850,h,23.jpeg,549,220,50
1851,h,23.jpeg,567,312,50
1852,h,23.jpeg,491,173,50
1853,h,23.jpeg,498,49,50
1854,h,23.jpeg,423,68,50
1855,h,23.jpeg,301,93,50
1856,h,23.jpeg,320,48,50
1857,h,23.jpeg,236,51,50
1858,h,23.jpeg,186,109,50
1859,h,23.jpeg,169,214,50
1860,h,23.jpeg,362,218,50
1861,h,39.jpeg,319,262,50
1862,h,39.jpeg,344,135,50
1863,h,39.jpeg,329,79,50
1864,h,39.jpeg,299,106,50
1865,h,39.jpeg,271,241,50
1866,h,39.jpeg,243,279,50
1867,h,39.jpeg,235,440,50
1868,h,39.jpeg,277,341,50
1869,h,39.jpeg,368,395,50
1870,h,39.jpeg,496,337,50
1871,h,39.jpeg,562,298,50
1872,h,39.jpeg,567,385,50
1873,h,39.jpeg,580,214,50
1874,h,39.jpeg,548,108,50
1875,h,39.jpeg,564,189,50
1876,h,39.jpeg,554,60,50
1877,h,39.jpeg,488,26,50
1878,h,39.jpeg,491,110,50
1879,h,39.jpeg,432,69,50
1880,h,39.jpeg,376,88,50
1881,h,39.jpeg,385,36,50
1882,h,39.jpeg,239,103,50
1883,h,39.jpeg,222,61,50
1884,h,39.jpeg,169,98,50
1885,h,39.jpeg,99,174,50
1886,h,39.jpeg,101,66,50
1887,h,39.jpeg,37,128,50
1888,h,39.jpeg,82,53,50
1889,h,39.jpeg,83,219,50
1890,h,39.jpeg,61,288,50
1891,h,39.jpeg,194,343,50
1892,h,39.jpeg,318,275,50
1893,h,39.jpeg,318,175,50
1894,h,39.jpeg,309,85,50
1895,h,39.jpeg,208,329,50
1896,h,39.jpeg,149,369,50
1897,h,39.jpeg,95,297,50
1898,h,39.jpeg,73,403,50
1899,h,39.jpeg,97,557,50
1900,h,39.jpeg,246,608,50
1901,h,39.jpeg,330,661,50
1902,h,39.jpeg,441,724,50
1903,h,39.jpeg,534,650,50
1904,h,39.jpeg,466,578,50
1905,h,39.jpeg,532,613,50
1906,h,39.jpeg,530,673,50
1907,h,39.jpeg,461,623,50
1908,h,39.jpeg,412,667,50
1909,h,39.jpeg,370,610,50
1910,h,39.jpeg,383,528,50
1911,h,39.jpeg,322,447,50
1912,h,39.jpeg,319,378,50
1913,h,39.jpeg,348,283,50
1914,h,39.jpeg,237,314,50
1915,h,39.jpeg,266,406,50
1916,h,39.jpeg,247,325,50
1917,h,39.jpeg,155,369,50
1918,h,39.jpeg,144,303,50
1919,h,39.jpeg,134,226,50
1920,h,39.jpeg,321,252,50
1921,h,39.jpeg,453,277,50
1922,h,39.jpeg,513,331,50
1923,h,39.jpeg,484,416,50
1924,h,9.jpeg,408,395,50
1925,h,9.jpeg,261,408,50
1926,h,9.jpeg,320,246,50
1927,h,9.jpeg,341,115,50
1928,h,9.jpeg,182,385,50
1929,h,9.jpeg,266,609,50
1930,h,9.jpeg,210,509,50
1931,h,9.jpeg,379,609,50
1932,h,9.jpeg,487,639,50
1933,h,9.jpeg,561,525,50
1934,h,9.jpeg,583,462,50
1935,h,9.jpeg,555,325,50
1936,h,9.jpeg,572,227,50
1937,h,9.jpeg,573,152,50
1938,h,9.jpeg,558,28,50
1939,h,9.jpeg,136,31,50
1940,h,9.jpeg,39,9,50
1941,h,9.jpeg,97,167,50
1942,h,9.jpeg,50,249,50
1943,h,9.jpeg,49,424,50
1944,h,9.jpeg,23,611,50
1945,h,9.jpeg,9,724,50
1946,h,9.jpeg,206,528,50
1947,h,9.jpeg,333,668,50
1948,h,9.jpeg,354,497,50
1949,h,9.jpeg,396,407,50
1950,h,9.jpeg,335,292,50
1951,h,9.jpeg,186,359,50
1952,h,9.jpeg,227,369,50
1953,h,21.jpeg,169,427,50
1954,h,21.jpeg,197,624,50
1955,h,21.jpeg,173,541,50
1956,h,21.jpeg,399,543,50
1957,h,21.jpeg,477,358,50
1958,h,21.jpeg,489,486,50
1959,h,21.jpeg,496,378,50
1960,h,21.jpeg,405,312,50
1961,h,21.jpeg,356,201,50
1962,h,21.jpeg,208,164,50
1963,h,21.jpeg,276,213,50
1964,h,21.jpeg,235,227,50
1965,h,21.jpeg,307,351,50
1966,h,21.jpeg,290,461,50
1967,h,21.jpeg,399,585,50
1968,h,21.jpeg,420,720,50
1969,h,21.jpeg,339,618,50
1970,h,21.jpeg,297,684,50
1971,h,21.jpeg,354,825,50
1972,h,21.jpeg,350,633,50
1973,h,21.jpeg,314,576,50
1974,h,21.jpeg,512,539,50
1975,h,21.jpeg,505,366,50
1976,h,21.jpeg,462,355,50
1977,h,21.jpeg,467,321,50
1978,h,21.jpeg,185,435,50
1979,h,21.jpeg,138,364,50
1980,h,21.jpeg,266,298,50
1981,h,21.jpeg,268,184,50
1982,h,21.jpeg,172,248,50
1983,h,21.jpeg,231,200,50
1984,h,21.jpeg,226,149,50
1985,h,21.jpeg,335,296,50
1986,h,21.jpeg,409,329,50
1987,h,21.jpeg,534,331,50
1988,h,21.jpeg,403,345,50
1989,h,21.jpeg,410,426,50
1990,h,21.jpeg,462,395,50
1991,h,21.jpeg,321,445,50
1992,h,21.jpeg,330,524,50
1993,h,21.jpeg,218,461,50
1994,h,21.jpeg,180,422,50
1995,h,21.jpeg,112,344,50
1996,h,21.jpeg,95,473,50
1997,h,21.jpeg,168,584,50
1998,i,23.jpeg,192,291,50
1999,i,23.jpeg,179,204,50
2000,i,23.jpeg,69,169,50
2001,i,23.jpeg,184,273,50
2002,i,23.jpeg,360,673,50
2003,i,23.jpeg,312,617,50
2004,i,23.jpeg,226,98,50
2005,i,23.jpeg,156,68,50
2006,i,23.jpeg,193,39,50
2007,i,23.jpeg,262,107,50
2008,i,23.jpeg,318,195,50
2009,i,23.jpeg,230,216,50
2010,i,23.jpeg,192,166,50
2011,i,23.jpeg,251,198,50
2012,i,23.jpeg,208,308,50
2013,i,23.jpeg,201,245,50
2014,i,23.jpeg,168,150,50
2015,i,23.jpeg,212,218,50
2016,i,23.jpeg,86,110,50
2017,i,23.jpeg,112,54,50
2018,i,23.jpeg,45,111,50
2019,i,23.jpeg,389,189,50
2020,i,23.jpeg,413,227,50
2021,i,23.jpeg,533,269,50
2022,i,23.jpeg,459,129,50
2023,i,23.jpeg,483,248,50
2024,i,23.jpeg,452,109,50
2025,i,23.jpeg,412,26,50
2026,i,23.jpeg,300,86,50
2027,i,23.jpeg,291,209,50
2028,i,23.jpeg,359,179,50
2029,i,23.jpeg,348,92,50
2030,i,39.jpeg,130,603,50
2031,i,39.jpeg,116,483,50
2032,i,39.jpeg,109,589,50
2033,i,39.jpeg,62,630,50
2034,i,39.jpeg,68,531,50
2035,i,39.jpeg,146,434,50
2036,i,39.jpeg,200,527,50
2037,i,39.jpeg,197,658,50
2038,i,39.jpeg,132,583,50
2039,i,39.jpeg,52,688,50
2040,i,39.jpeg,69,591,50
2041,i,39.jpeg,230,484,50
2042,i,39.jpeg,275,568,50
2043,i,39.jpeg,132,589,50
2044,i,39.jpeg,115,443,50
2045,i,39.jpeg,28,433,50
2046,i,39.jpeg,55,413,50
2047,i,39.jpeg,168,430,50
2048,i,39.jpeg,109,354,50
2049,i,39.jpeg,205,380,50
2050,i,39.jpeg,256,339,50
2051,i,39.jpeg,248,284,50
2052,i,39.jpeg,144,288,50
2053,i,39.jpeg,296,295,50
2054,i,39.jpeg,291,410,50
2055,i,39.jpeg,283,460,50
2056,i,39.jpeg,198,517,50
2057,i,39.jpeg,170,664,50
2058,i,39.jpeg,56,673,50
2059,i,9.jpeg,190,516,50
2060,i,9.jpeg,196,593,50
2061,i,9.jpeg,297,447,50
2062,i,21.jpeg,71,798,50
2063,i,21.jpeg,88,647,50
2064,i,21.jpeg,308,596,50
2065,i,21.jpeg,307,703,50
2066,i,21.jpeg,293,566,50
2067,i,21.jpeg,290,623,50
2068,i,21.jpeg,287,492,50
2069,i,21.jpeg,130,397,50
2070,i,21.jpeg,119,272,50
2071,i,21.jpeg,238,218,50
2072,i,21.jpeg,321,295,50
2073,i,21.jpeg,337,382,50
2074,i,21.jpeg,314,667,50
2075,i,21.jpeg,281,727,50
2076,i,21.jpeg,342,796,50
2077,i,21.jpeg,323,681,50
2078,i,21.jpeg,403,532,50
2079,i,21.jpeg,340,414,50
2080,i,21.jpeg,314,301,50
2081,i,21.jpeg,129,316,50
2082,i,21.jpeg,135,425,50
2083,i,21.jpeg,177,632,50
2084,i,21.jpeg,81,594,50
2085,i,21.jpeg,78,685,50
2086,j,23.jpeg,360,484,50
2087,j,23.jpeg,263,269,50
2088,j,23.jpeg,248,173,50
2089,j,23.jpeg,190,213,50
2090,j,23.jpeg,214,289,50
2091,j,23.jpeg,278,279,50
2092,j,23.jpeg,180,393,50
2093,j,23.jpeg,280,485,50
2094,j,23.jpeg,241,578,50
2095,j,23.jpeg,194,656,50
2096,j,23.jpeg,135,670,50
2097,j,23.jpeg,108,661,50
2098,j,23.jpeg,262,630,50
2099,j,23.jpeg,364,690,50
2100,j,23.jpeg,370,706,50
2101,j,23.jpeg,128,66,50
2102,j,23.jpeg,81,109,50
2103,j,23.jpeg,33,137,50
2104,j,23.jpeg,159,195,50
2105,j,23.jpeg,233,280,50
2106,j,23.jpeg,226,333,50
2107,j,23.jpeg,194,64,50
2108,j,23.jpeg,233,50,50
2109,j,23.jpeg,330,66,50
2110,j,23.jpeg,380,176,50
2111,j,23.jpeg,354,259,50
2112,j,23.jpeg,168,208,50
2113,j,23.jpeg,170,177,50
2114,j,23.jpeg,176,109,50
2115,j,23.jpeg,202,66,50
2116,j,23.jpeg,293,56,50
2117,j,23.jpeg,373,58,50
2118,j,23.jpeg,410,67,50
2119,j,23.jpeg,413,124,50
2120,j,23.jpeg,389,182,50
2121,j,23.jpeg,382,253,50
2122,j,23.jpeg,363,258,50
2123,j,23.jpeg,276,613,50
2124,j,23.jpeg,315,640,50
2125,j,23.jpeg,324,617,50
2126,j,39.jpeg,293,172,50
2127,j,39.jpeg,258,190,50
2128,j,39.jpeg,294,222,50
2129,j,39.jpeg,351,149,50
2130,j,39.jpeg,302,117,50
2131,j,39.jpeg,298,213,50
2132,j,39.jpeg,311,300,50
2133,j,39.jpeg,265,329,50
2134,j,39.jpeg,253,397,50
2135,j,39.jpeg,209,405,50
2136,j,39.jpeg,237,294,50
2137,j,39.jpeg,275,207,50
2138,j,39.jpeg,297,137,50
2139,j,39.jpeg,319,90,50
2140,j,39.jpeg,333,34,50
2141,j,39.jpeg,347,105,50
2142,j,39.jpeg,316,186,50
2143,j,39.jpeg,342,259,50
2144,j,39.jpeg,364,331,50
2145,j,39.jpeg,395,391,50
2146,j,39.jpeg,441,388,50
2147,j,39.jpeg,328,392,50
2148,j,39.jpeg,390,418,50
2149,j,39.jpeg,266,396,50
2150,j,39.jpeg,225,383,50
2151,j,39.jpeg,244,300,50
2152,j,39.jpeg,285,253,50
2153,j,39.jpeg,324,291,50
2154,j,39.jpeg,147,387,50
2155,j,39.jpeg,185,210,50
2156,j,39.jpeg,138,184,50
2157,j,39.jpeg,113,221,50
2158,j,39.jpeg,109,291,50
2159,j,39.jpeg,123,398,50
2160,j,39.jpeg,109,440,50
2161,j,39.jpeg,120,501,50
2162,j,39.jpeg,126,564,50
2163,j,39.jpeg,144,589,50
2164,j,39.jpeg,147,612,50
2165,j,39.jpeg,114,669,50
2166,j,39.jpeg,178,689,50
2167,j,39.jpeg,261,676,50
2168,j,39.jpeg,322,665,50
2169,j,39.jpeg,388,660,50
2170,j,9.jpeg,241,343,50
2171,j,9.jpeg,231,324,50
2172,j,9.jpeg,315,269,50
2173,j,9.jpeg,293,351,50
2174,j,9.jpeg,324,451,50
2175,j,9.jpeg,354,332,50
2176,j,9.jpeg,365,461,50
2177,j,9.jpeg,218,503,50
2178,j,9.jpeg,186,585,50
2179,j,21.jpeg,189,369,50
2180,j,21.jpeg,141,355,50
2181,j,21.jpeg,141,427,50
2182,j,21.jpeg,126,488,50
2183,j,21.jpeg,123,551,50
2184,j,21.jpeg,144,608,50
2185,j,21.jpeg,206,620,50
2186,j,21.jpeg,282,670,50
2187,j,21.jpeg,327,720,50
2188,j,21.jpeg,132,723,50
2189,j,21.jpeg,96,753,50
2190,j,21.jpeg,83,809,50
2191,j,21.jpeg,58,831,50
2192,j,21.jpeg,129,769,50
2193,j,21.jpeg,122,699,50
2194,j,21.jpeg,128,650,50
2195,j,21.jpeg,113,693,50
2196,j,21.jpeg,77,636,50
2197,j,21.jpeg,92,569,50
2198,j,21.jpeg,119,514,50
2199,j,21.jpeg,60,599,50
2200,j,21.jpeg,57,620,50
2201,j,21.jpeg,146,629,50
2202,j,21.jpeg,176,651,50
2203,j,21.jpeg,150,692,50
2204,j,21.jpeg,133,734,50
2205,j,21.jpeg,133,755,50
2206,j,21.jpeg,116,788,50
2207,j,21.jpeg,86,804,50
2208,j,21.jpeg,67,814,50
2209,j,21.jpeg,126,764,50
2210,j,21.jpeg,152,719,50
2211,j,21.jpeg,153,657,50
2212,j,21.jpeg,129,620,50
2213,j,21.jpeg,96,685,50
2214,j,21.jpeg,125,594,50
2215,j,21.jpeg,165,549,50
2216,j,21.jpeg,195,504,50
2217,j,21.jpeg,234,463,50
2218,j,21.jpeg,265,445,50
2219,j,21.jpeg,177,453,50
2220,j,21.jpeg,152,466,50
2221,j,21.jpeg,119,476,50
2222,j,21.jpeg,97,525,50
2223,j,21.jpeg,90,563,50
2224,j,21.jpeg,103,624,50
2225,j,21.jpeg,142,649,50
2226,j,21.jpeg,310,635,50
2227,j,21.jpeg,246,147,50
2228,j,21.jpeg,221,85,50
2229,j,21.jpeg,218,141,50
2230,j,21.jpeg,172,222,50
2231,j,21.jpeg,237,284,50
2232,j,21.jpeg,301,310,50
2233,j,21.jpeg,284,170,50
2234,j,21.jpeg,324,126,50
2235,k,23.jpeg,282,546,50
2236,k,23.jpeg,343,566,50
2237,k,23.jpeg,397,606,50
2238,k,23.jpeg,235,548,50
2239,k,23.jpeg,262,309,50
2240,k,23.jpeg,235,135,50
2241,k,23.jpeg,218,232,50
2242,k,23.jpeg,269,204,50
2243,k,23.jpeg,186,190,50
2244,k,23.jpeg,145,73,50
2245,k,23.jpeg,292,62,50
2246,k,23.jpeg,388,75,50
2247,k,23.jpeg,394,167,50
2248,k,23.jpeg,198,624,50
2249,k,23.jpeg,320,744,50
2250,k,23.jpeg,272,725,50
2251,k,23.jpeg,342,748,50
2252,k,23.jpeg,252,730,50
2253,k,23.jpeg,323,592,50
2254,k,23.jpeg,426,653,50
2255,k,39.jpeg,206,170,50
2256,k,39.jpeg,254,205,50
2257,k,39.jpeg,293,194,50
2258,k,39.jpeg,341,194,50
2259,k,39.jpeg,372,254,50
2260,k,39.jpeg,381,296,50
2261,k,39.jpeg,386,330,50
2262,k,39.jpeg,402,410,50
2263,k,39.jpeg,415,465,50
2264,k,39.jpeg,428,493,50
2265,k,39.jpeg,352,558,50
2266,k,39.jpeg,115,298,50
2267,k,39.jpeg,152,262,50
2268,k,39.jpeg,75,258,50
2269,k,39.jpeg,95,310,50
2270,k,39.jpeg,67,350,50
2271,k,39.jpeg,108,405,50
2272,k,39.jpeg,101,440,50
2273,k,39.jpeg,190,461,50
2274,k,39.jpeg,254,520,50
2275,k,39.jpeg,195,521,50
2276,k,39.jpeg,220,581,50
2277,k,39.jpeg,299,618,50
2278,k,39.jpeg,361,641,50
2279,k,39.jpeg,361,641,50
2280,k,39.jpeg,427,701,50
2281,k,39.jpeg,496,699,50
2282,k,39.jpeg,489,554,50
2283,k,39.jpeg,489,420,50
2284,k,39.jpeg,512,356,50
2285,k,39.jpeg,591,297,50
2286,k,39.jpeg,597,336,50
2287,k,39.jpeg,594,369,50
2288,k,39.jpeg,401,308,50
2289,k,39.jpeg,425,322,50
2290,k,39.jpeg,432,361,50
2291,k,39.jpeg,505,419,50
2292,k,39.jpeg,463,365,50
2293,k,39.jpeg,445,343,50
2294,k,39.jpeg,431,313,50
2295,k,39.jpeg,463,304,50
2296,k,39.jpeg,433,260,50
2297,k,39.jpeg,471,233,50
2298,k,39.jpeg,360,173,50
2299,k,39.jpeg,381,149,50
2300,k,39.jpeg,322,148,50
2301,k,39.jpeg,322,199,50
2302,k,39.jpeg,382,205,50
2303,k,39.jpeg,368,243,50
2304,k,39.jpeg,339,261,50
2305,k,39.jpeg,283,266,50
2306,k,39.jpeg,316,370,50
2307,k,39.jpeg,195,394,50
2308,k,39.jpeg,252,391,50
2309,k,39.jpeg,249,350,50
2310,k,39.jpeg,257,275,50
2311,k,39.jpeg,265,342,50
2312,k,39.jpeg,310,465,50
2313,k,9.jpeg,308,385,50
2314,k,9.jpeg,363,384,50
2315,k,9.jpeg,359,355,50
2316,k,9.jpeg,240,355,50
2317,k,9.jpeg,180,337,50
2318,k,9.jpeg,200,302,50
2319,k,9.jpeg,268,259,50
2320,k,9.jpeg,571,538,50
2321,k,9.jpeg,427,540,50
2322,k,9.jpeg,404,627,50
2323,k,9.jpeg,346,675,50
2324,k,9.jpeg,327,734,50
2325,k,21.jpeg,279,507,50
2326,k,21.jpeg,227,481,50
2327,k,21.jpeg,184,462,50
2328,k,21.jpeg,242,413,50
2329,k,21.jpeg,202,394,50
2330,k,21.jpeg,156,390,50
2331,k,21.jpeg,117,413,50
2332,k,21.jpeg,116,450,50
2333,k,21.jpeg,112,493,50
2334,k,21.jpeg,81,509,50
2335,k,21.jpeg,70,568,50
2336,k,21.jpeg,92,586,50
2337,k,21.jpeg,58,581,50
2338,k,21.jpeg,36,548,50
2339,k,21.jpeg,254,468,50
2340,k,21.jpeg,443,411,50
2341,k,21.jpeg,445,316,50
2342,k,21.jpeg,471,347,50
2343,k,21.jpeg,534,353,50
2344,k,21.jpeg,570,373,50
2345,k,21.jpeg,542,402,50
2346,k,21.jpeg,435,331,50
2347,k,21.jpeg,366,315,50
2348,k,21.jpeg,351,280,50
2349,k,21.jpeg,336,222,50
2350,k,21.jpeg,311,175,50
2351,k,21.jpeg,314,84,50
2352,k,21.jpeg,236,95,50
2353,k,21.jpeg,191,35,50
2354,k,21.jpeg,180,102,50
2355,k,21.jpeg,89,159,50
2356,k,21.jpeg,273,166,50
2357,k,21.jpeg,268,230,50
2358,k,21.jpeg,137,239,50
2359,k,21.jpeg,198,281,50
2360,l,23.jpeg,48,598,50
2361,l,23.jpeg,34,475,50
2362,l,23.jpeg,61,386,50
2363,l,23.jpeg,53,237,50
2364,l,23.jpeg,121,261,50
2365,l,39.jpeg,82,619,50
2366,l,39.jpeg,104,664,50
2367,l,39.jpeg,235,708,50
2368,l,39.jpeg,325,684,50
2369,l,39.jpeg,337,634,50
2370,l,39.jpeg,221,598,50
2371,l,39.jpeg,177,576,50
2372,l,39.jpeg,77,517,50
2373,l,39.jpeg,131,521,50
2374,l,39.jpeg,185,556,50
2375,l,39.jpeg,225,641,50
2376,l,39.jpeg,229,559,50
2377,l,39.jpeg,232,488,50
2378,l,39.jpeg,230,396,50
2379,l,39.jpeg,183,370,50
2380,l,39.jpeg,130,382,50
2381,l,39.jpeg,79,391,50
2382,l,39.jpeg,58,391,50
2383,l,39.jpeg,28,400,50
2384,l,39.jpeg,27,458,50
2385,l,39.jpeg,35,524,50
2386,l,39.jpeg,41,596,50
2387,l,39.jpeg,50,645,50
2388,l,39.jpeg,57,693,50
2389,l,39.jpeg,88,723,50
2390,l,39.jpeg,136,734,50
2391,l,39.jpeg,184,723,50
2392,l,39.jpeg,229,724,50
2393,l,39.jpeg,257,721,50
2394,l,39.jpeg,281,717,50
2395,l,39.jpeg,315,704,50
2396,l,39.jpeg,329,709,50
2397,l,39.jpeg,226,617,50
2398,l,39.jpeg,220,610,50
2399,l,39.jpeg,180,565,50
2400,l,39.jpeg,160,543,50
2401,l,39.jpeg,88,679,50
2402,l,39.jpeg,22,523,50
2403,l,39.jpeg,32,672,50
2404,l,39.jpeg,13,711,50
2405,l,39.jpeg,26,733,50
